layer,group,probe,token_id,mean_trigger_minus_clean_logit,std,positive_fraction
16,error,wrong,4969,2.0986905097961426,1.2295801639556885,0.953125
16,error,incorrect,15114,0.6454918384552002,1.207456350326538,0.640625
16,error,error,1465,1.5916504859924316,1.297390341758728,0.890625
16,error,mistake,16523,1.3326034545898438,1.0167357921600342,0.921875
16,error,misleading,37209,-0.9965906739234924,1.0613627433776855,0.15625
16,error,deceive,92828,-1.4631043672561646,0.9331693053245544,0.046875
16,checking,correct,4396,2.3208839893341064,1.5391018390655518,0.9375
16,checking,verify,10146,3.0246152877807617,1.2098664045333862,1.0
16,checking,check,1779,1.8646488189697266,1.17670738697052,0.953125
16,checking,careful,16585,0.06512696295976639,1.113534927368164,0.53125
16,reasoning,think,1744,1.7520235776901245,1.5447331666946411,0.90625
16,reasoning,reason,2874,2.4056756496429443,1.4017349481582642,0.953125
16,reasoning,answer,4226,-1.9100661277770996,1.5918142795562744,0.140625
16,reasoning,solve,11625,-1.0263609886169434,1.3623038530349731,0.25
16,reasoning,step,3019,0.452883780002594,1.3070927858352661,0.640625
16,reasoning,conclusion,16688,-0.7431632280349731,1.1818697452545166,0.28125
16,termination,final,1590,-1.7753463983535767,1.1130541563034058,0.0625
16,termination,end,835,-1.225476622581482,1.4271901845932007,0.1875
16,termination,stop,2936,0.6449884176254272,1.0314956903457642,0.765625
16,termination,short,2805,2.0120387077331543,1.1892670392990112,0.96875
16,termination,continue,3060,0.4613986015319824,1.1587409973144531,0.6875
16,plausibility,plausible,49334,-1.2227588891983032,1.2117143869400024,0.140625
16,plausibility,coherent,55787,0.5552788972854614,0.8671159744262695,0.703125
16,plausibility,confident,16506,2.562051296234131,0.9972084760665894,1.0
